customer_id,tenure_months,monthly_usage,support_calls,is_premium,last_login_days,churn
C00000,14,27.264412097511606,0,0,4,0
C00001,4,53.41712834390158,0,0,7,0
C00002,3,54.213657507541754,0,0,6,0
C00003,9,67.62167815379956,0,0,8,0
C00004,15,87.29127531126086,0,0,10,0
C00005,6,47.59491779111873,1,1,9,0
C00006,47,65.94045459369953,0,0,3,0
C00007,13,41.340247946120186,0,0,6,0
C00008,7,66.58880774756777,0,0,12,0
C00009,5,54.31613592823585,0,0,6,0
C00010,5,32.123358020096475,1,0,7,0
C00011,15,54.94763940367227,0,0,3,0
C00012,6,57.89104561030574,0,0,8,0
C00013,0,55.85710113072241,0,0,11,0
C00014,6,45.92544138533778,0,1,6,0
C00015,16,72.18139248207981,0,0,9,0
C00016,2,67.18035960780665,0,1,8,0
C00017,2,60.41017943974548,1,1,5,0
C00018,9,39.63824826597764,0,0,6,0
C00019,9,44.191883949862394,3,0,8,0
C00020,12,62.413104059841245,2,0,11,0
C00021,22,75.6749135482199,0,0,6,0
C00022,15,65.57056274256583,1,1,9,1
C00023,11,47.370137216215745,0,1,8,0
C00024,15,52.48343604300394,1,0,14,0
C00025,4,68.64579472882654,0,0,4,0
C00026,5,30.640181076692382,1,1,8,0
C00027,3,29.053900166840933,0,0,5,0
C00028,4,65.86655697090015,0,0,8,0
C00029,11,52.17208091425337,0,0,8,1
C00030,1,36.01028779964649,0,1,6,0
C00031,6,47.27572346708979,0,0,5,0
C00032,6,44.8616568674926,0,1,9,0
C00033,8,57.677591055200196,0,0,7,0
C00034,6,48.24543087991332,0,1,6,0
C00035,4,56.65272827640938,0,0,8,1
C00036,6,73.88030733599385,0,0,5,1
C00037,26,53.00006760977358,0,0,7,0
C00038,34,48.53173319751118,0,0,5,0
C00039,8,42.42726123679933,2,0,9,0
C00040,11,42.98337056563924,1,0,11,0
C00041,1,48.4976123094063,0,0,7,0
C00042,4,65.42496032705574,0,1,9,0
C00043,6,61.939572892919486,1,0,5,0
C00044,24,27.916452982561786,2,0,7,0
C00045,3,78.20394659079533,0,0,4,0
C00046,7,41.84427130368224,0,0,7,0
C00047,50,41.88816714252663,0,1,6,0
C00048,8,47.50292318228057,2,1,7,0
C00049,11,80.93095080650589,1,0,5,0
C00050,1,59.64791800569884,0,1,3,0
C00051,21,53.50487668050909,0,0,7,0
C00052,11,41.303284420948586,1,0,13,0
C00053,9,52.73716027353051,1,0,4,0
C00054,5,84.22524289801413,0,0,4,1
C00055,4,63.11490387145254,1,1,3,0
C00056,6,43.387100318445306,0,0,9,0
C00057,13,44.8742433034435,1,0,5,0
C00058,24,59.10391513157214,0,0,9,0
C00059,8,64.46968988291074,0,0,5,0
C00060,13,32.795060724346044,0,1,5,0
C00061,10,55.86716966446504,0,0,7,0
C00062,11,60.84922764779682,0,1,10,0
C00063,13,68.91650264979148,0,0,8,0
C00064,22,31.934244565750323,0,0,9,0
C00065,1,84.60629795122162,1,0,5,0
C00066,17,43.91884973860394,0,0,8,0
C00067,3,43.428617194671396,0,0,6,0
C00068,2,42.501548334813975,0,0,7,0
C00069,10,58.81470259480497,1,0,6,0
C00070,1,36.10187608644989,0,0,7,0
C00071,25,76.05473336604496,1,0,5,0
C00072,11,43.10675678739907,0,1,9,0
C00073,15,51.887329521983915,2,0,8,1
C00074,0,33.20080145500053,0,0,11,0
C00075,10,42.17169568280703,1,0,8,1
C00076,9,19.79854921538865,0,0,7,0
C00077,2,49.56937400671517,0,1,5,0
C00078,1,48.45286313659314,0,0,7,0
C00079,14,23.580302640333784,0,1,6,0
C00080,4,47.22249919671923,0,0,7,0
C00081,14,57.56115231837006,0,0,9,0
C00082,9,70.31850146876054,1,0,9,0
C00083,5,36.38071694775274,0,0,8,0
C00084,31,22.729331168592893,1,0,11,1
C00085,22,48.159006545668845,0,1,4,0
C00086,5,76.91729025544343,0,0,8,0
C00087,0,45.192357297636164,0,0,8,0
C00088,4,42.93086720936075,0,0,8,0
C00089,6,66.2610864119255,2,0,9,0
C00090,14,44.311650863746976,0,1,9,0
C00091,64,44.56589173522512,1,0,5,1
C00092,5,39.78393998595719,1,0,10,0
C00093,17,51.72811675356494,0,0,8,0
C00094,10,49.73637951529975,0,1,3,0
C00095,14,52.43952733672512,0,0,8,0
C00096,1,51.542923103079055,0,0,5,0
C00097,6,26.63778920682883,0,0,10,0
C00098,3,59.73270418066029,0,1,2,0
C00099,5,29.115853456676955,0,0,3,0
C00100,8,45.49014875463013,0,0,10,0
C00101,13,68.7712294994561,0,0,10,0
C00102,1,58.93084334795245,1,1,5,0
C00103,1,72.98179174113496,0,0,7,0
C00104,4,42.803858312890604,1,1,8,0
C00105,13,41.673947429920204,0,0,7,0
C00106,22,67.63437260870423,0,0,9,0
C00107,9,52.25703563911742,0,0,8,1
C00108,23,81.15513618722291,0,0,4,0
C00109,5,36.192229472835216,0,0,5,0
C00110,4,60.99952543250579,0,0,3,0
C00111,5,59.54126576695285,0,0,10,0
C00112,2,67.86973462325456,0,0,9,0
C00113,21,59.358921886766254,0,0,5,0
C00114,4,60.660217624027595,0,0,10,0
C00115,9,52.63922842409899,1,1,9,0
C00116,10,64.80798802862964,0,1,9,0
C00117,8,43.052794815266566,0,0,6,0
C00118,0,64.0117599069032,0,1,9,0
C00119,53,78.3050169659978,0,0,4,0
C00120,28,39.652900882565845,0,0,4,0
C00121,2,60.75375820015146,0,0,3,1
C00122,4,56.63714179208019,3,0,11,0
C00123,8,36.027337052729386,0,0,9,0
C00124,27,51.68998820517157,0,0,10,0
C00125,49,63.605633933087766,0,0,6,0
C00126,3,61.59125058547221,0,0,14,0
C00127,9,37.093563763039626,0,0,4,0
C00128,19,54.23933085937593,1,0,5,0
C00129,6,57.19841542111881,0,0,9,0
C00130,15,63.87141383550457,2,0,6,0
C00131,2,50.86117017700659,0,0,11,0
C00132,11,41.65112385218415,0,0,13,0
C00133,24,66.83518541410793,0,0,10,0
C00134,49,33.92700550661185,0,0,9,0
C00135,0,40.4860952513104,0,0,4,0
C00136,6,61.58194272928674,0,0,4,0
C00137,2,54.99497506222046,1,0,8,1
C00138,7,52.278046537051864,0,0,8,0
C00139,9,37.999466013681854,1,0,4,0
C00140,1,63.75120051565361,0,1,6,0
C00141,4,58.67693645363155,0,0,6,0
C00142,31,79.3188577960174,0,0,1,0
C00143,10,60.505365768176375,1,0,5,0
C00144,7,29.24388482605966,0,0,7,0
C00145,16,51.57864891587122,0,0,10,1
C00146,16,48.67007708945277,0,1,8,0
C00147,0,47.647419585223105,0,0,7,0
C00148,14,47.01669744752415,0,0,7,0
C00149,21,52.47150966130336,1,1,5,0
C00150,2,38.91332932277815,1,1,6,0
C00151,18,26.15497100791694,1,1,4,0
C00152,4,56.12561122224514,0,0,10,0
C00153,4,66.42127872319203,1,0,5,0
C00154,13,56.9048588394474,0,0,11,0
C00155,1,54.42823916432838,0,0,9,0
C00156,13,38.47248495906517,0,1,4,0
C00157,26,62.9369387104269,0,0,4,0
C00158,14,20.477762565744786,0,1,8,0
C00159,6,80.53740404807557,0,0,5,0
C00160,6,41.691287374264434,0,0,7,0
C00161,17,60.70267571983557,0,0,2,0
C00162,10,43.13572974115146,0,0,7,1
C00163,1,51.61775546085079,0,0,9,1
C00164,10,44.86409379514224,0,0,5,0
C00165,20,19.960191551067485,0,0,9,0
